# Solar system data
#  1. Name
#  2. Visible magnitude     
#  3. Distance to orbit center (1E3km)   
#  4. Radius(km)              
#  5. Mass(kg)          
#  6. Density(g/cm3)   
#  7. Escape vel.(km/s)       
#  8. Albedo            
#  9. Orbital Period(days)   
# 10. Orbit Inclination                  
# 11. Orbit Tilt(degrees)             
# 12. Orbit Eccentricity
# 13. Rotational Period(days)       
# 14. Average orbital velocity(km/s)     
# 15. Sort number by distance to orbit center (in romans)              
# 16. Planet/Star that is the orbit center                 
# 17. Date of discovery             
# 18. Discoverer      
# 19. Map file (PCX 256Color)
# *:Not available /:Not applicable ?:Unknown parameter !:chaotic parameter

# Sun
Sun:-26.8:0:695000:1.989E+30:1.410:618.02:/:/:/:?:/:30.5:?:/:/:/:/:sun.pcx:

# Mercury
Mercury:-1.9:57910:2439.7:3.303E+23:5.42:4.2507:0.10:87.969:7.004:0.00:0.2056:58.6462:47.87:I:Sun:/:/:mercury.pcx:

# Venus
Venus:-4.4:108200:6051.8:4.869E+24:5.25:10.362:0.65:224.701:3.394:177.36:0.0068:-243.0187:35.02:II:Sun:/:/:venus.pcx:

# Earth
Earth:/:149600:6378.14:5.976E+24:5.515:11.182:0.37:365.256:0.000:23.45:0.0167:0.99727:29.79:III:Sun:/:/:earth.pcx:
Moon:-12.74:384.4:1737.4:7.349E+22:3.34:2.3760:0.12:27.32166:5.1454:1.5424:0.05:27.32166:1.02:I:Earth:/:/:moon.pcx:

# Mars
Mars:-2.01:227940:3397.2:6.421E+23:3.94:5.0225:0.15:686.98:1.850:25.19:0.0934:1.025957:24.13:IV:Sun:/:/:mars.pcx:
Phobos:11.3:9.380:13.5x10.8x9.4:1.08E+16:2.0:0.0103:0.06:0.31910:1.0:?:0.01:0.31910:2.14:I:Mars:1877:Asaph Hall:phobos.pcx:
Deimos:12.40:23.46:7.5x6.1x5.5:1.8E+15:1.7:0.0057:0.07:1.26244:1.8:?:0.00:1.26244:1.35:II:Mars:1877:Asaph Hall:deimos.pcx:

# Jupiter
Jupiter:-2.70:778330:71492:1.9E+27:1.33:59.556:0.52:4332.71:1.308:3.13:0.0483:0.41354:13.06:V:Sun:/:/:jupiter2.pcx:
Metis:17.5:127.969:20:9.56E+16:2.8:0.0253:0.05:0.294779:0.0000:?:0.0000:?:31.57:XVI:Jupiter:1979:Stephen Synnott:*:
Adrastea:19.1:128.971:12.5x10x7.5:1.91E+16:4.5:0.0143:0.05:0.298260:0.0000:?:0.0000:?:31.45:XV:Jupiter:1979:D. Jewitt & E. Danielson:*:
Amalthea:14.1:181.30:135x84x75:7.17E+18:1.8:0.0842:0.05:0.498179:0.40:?:0.003:0.498179:26.47:V:Jupiter:1892:Edward Emerson Barnard:*:
Thebe:15.7:221.895:55x45:7.77E+17:1.5:0.0434:0.05:0.674536:1.0659:?:0.0183:0.674536:23.92:XIV:Jupiter:1979:Stephen Synnott:*:
Io:5.02:421.60:1815:8.94E+22:3.55:2.5639:0.61:1.769138:0.040:?:0.004:1.769138:17.33:I:Jupiter:1610:Simon Marius & Galileo Galilei:io.pcx:
Europa:5.29:670.90:1569:4.8E+22:3.01:2.0206:0.64:3.551181:0.470:?:0.009:3.551181:13.74:II:Jupiter:1610:Simon Marius & Galileo Galilei:europa.pcx:
Ganymede:4.61:1070:2631:1.48E+23:1.94:2.7400:0.42:7.154553:0.195:?:0.002:7.154553:10.88:III:Jupiter:1610:Simon Marius & Galileo Galilei:ganimede.pcx:
Callisto:5.65:1883:2403:1.08E+23:1.86:2.4507:0.19:16.68902:0.281:?:0.007:16.68902:8.21:IV:Jupiter:1610:Simon Marius & Galileo Galilei:*:
Leda:20.2:11094:8:5.68E+15:2.7:0.0097:?:238.72:26.07:?:0.1476:?:3.38:XIII:Jupiter:1974:C. Kowal:*:
Himalia:14.84:11480:93:9.56E+18:2.8:0.1171:0.03:250.5662:27.63:?:0.1580:0.4:3.33:VI:Jupiter:1904:C. Perrine:*:
Lysithea:18.4:11720:18:7.77E+16:3.1:0.0240:?:259.22:29.02:?:0.107:?:3.29:X:Jupiter:1938:S. Nicholson:*:
Elara:16.77:11737:38:7.77E+17:3.3:0.0522:0.03:259.6528:24.77:?:0.2072:0.5:3.29:VII:Jupiter:1905:C. Perrine:*:
Ananke:18.9:21200:15:3.82E+16:2.7:0.0184:?:-631:147:?:0.1687:?:-2.44:XII:Jupiter:1951:S. Nicholson:*:
Carme:18.0:22600:20:9.56E+16:2.8:0.0253:?:-692:163:?:0.2068:?:-2.38:XI:Jupiter:1938:S. Nicholson:*:
Pasiphae:17.03:23500:25:1.91E+17:2.9:0.0319:?:-735:147:?:0.378:?:-2.33:VIII:Jupiter:1908:P. Melotte:*:
Sinope:18.3:23700:18:7.77E+16:3.1:0.0240:?:-758:153:?:0.275:?:-2.27:IX:Jupiter:1914:S. Nicholson:*:

# Saturn
Saturn:0.67:1429400:60268:5.688E+26:0.69:35.490:0.47:10759.50:2.488:25.33:0.0560:0.44401:9.66:VI:Sun:/:/:saturn.pcx:
Pan:?:133.583:9.655:?:?:?:0.5:0.5750:0.0:?:0.00:?:16.89:XVIII:Saturn:1990:Mark R. Showalter:*:
Atlas:18.0:137.64:20x15:?:?:?:0.9:0.6019:0.0:?:0.000:?:16.63:XV:Saturn:1980:R. Terrile:*:
