Name|Vo|Distance(1E3km)|Radius(km)|Mass(kg)|Density(g/cm3)|Escape(km/s)|Albedo|O. Per.(days)|Incl.|Tilt|Eccen.|R. Period(days)|M.O.V.(km/s)|Num|Orbits|Date|Discoverer|
Name of the planet or satellite|Objects visible magnitude at opposition|Distance to the Sun or to the planet center|Radius|Mass|Density|Escape Velocity|Visual geometric albedo|Orbital period|Orbital inclination in degrees|Tilt of Axis or obliquity in degrees|Orbital Eccentricity|Siderial rotational|Mean Orbital Velocity|Num|Sun or planet about which it orbits|Date of discovery|Discoverer|
Rhea|9.7|527.04|765|2.49e+21|1.33|0.6591|0.7|4.517500|0.35|?|0.0010|4.517500|8.48|V|Saturn|1672|Giovanni Domenico Cassini|
Titan|8.28|1,221.85|2575|1.35e+23|1.88|2.6452|0.21|15.94542|0.33|?|0.0292|15.94542|5.57|VI|Saturn|1655|Christiaan Huygens|
Hyperion|14.19|1,481.0|205x130x110|1.77e+19|1.4|0.1073|0.3|21.27661|0.43|?|0.1042|chaotic|5.06|VII|Saturn|1848|William Cranch Bond|
Iapetus|10.2-11.9|3,561.3|730|1.88e+21|1.21|0.5863|0.2|79.33018|14.72|?|0.0283|79.33018|3.26|VIII|Saturn|1671|Giovanni Domenico Cassini|
Phoebe|16.45|12,952|110|4e+18|0.7|0.0697|0.06|-550.48|175.3|?|0.1633|0.4|-1.71|IX|Saturn|1898|William Henry Pickering|
Uranus|5.52|2,870,990|25559|8.686e+25|1.29|21.297|0.51|30685.00|0.774|97.86|0.0461|-0.71833|6.80|VII|Sun|1781|William Herschel|
Cordelia|24.1|49.750|13|?|?|?|0.07|0.335033|0.14|?|0.000|?|10.80|VI|Uranus|1986|Voyager 2|
Ophelia|23.8|53.76|16|?|?|?|0.07|0.376409|0.09|?|0.001|?|10.39|VII|Uranus|1986|Voyager 2|
Bianca|23.0|59.16|22|?|?|?|0.07|0.434577|0.16|?|0.001|?|9.90|VIII|Uranus|1986|Voyager 2|
Cressida|22.2|61.77|33|?|?|?|0.07|0.463570|0.04|?|0.000|?|9.69|IX|Uranus|1986|Voyager 2|
Desdemona|22.5|62.66|29|?|?|?|0.07|0.473651|0.16|?|0.000|?|9.62|X|Uranus|1986|Voyager 2|
Juliet|21.5|64.36|42|?|?|?|0.07|0.493066|0.06|?|0.001|?|9.49|XI|Uranus|1986|Voyager 2|
Portia|21.0|66.10|55|?|?|?|0.07|0.513196|0.09|?|0.000|?|9.37|XII|Uranus|1986|Voyager 2|
Rosalind|22.5|69.93|27|?|?|?|0.07|0.558459|0.28|?|0.000|?|9.11|XIII|Uranus|1986|Voyager 2|
Belinda|22.1|75.26|34|?|?|?|0.07|0.623525|0.03|?|0.000|?|8.78|XIV|Uranus|1986|Voyager 2|
Puck|20.2|86.01|77|?|?|?|0.07|0.761832|0.31|?|0.000|?|8.21|XV|Uranus|1985|Stephen Synnott|
Miranda|16.3|129.78|235.8|6.33e+19|1.15|0.1893|0.27|1.413479|4.22|?|0.0027|1.413479|6.68|V|Uranus|1948|Gerard Kuiper|
Ariel|14.16|191.24|578.9|1.27e+21|1.56|0.5411|0.34|2.520379|0.31|?|0.0034|2.520379|5.52|I|Uranus|1851|William Lassell|
Umbriel|14.81|265.97|584.7|1.27e+21|1.52|0.5384|0.18|4.144177|0.36|?|0.0050|4.144177|4.67|II|Uranus|1851|William Lassell|
Titania|13.73|435.84|788.9|3.49e+21|1.70|0.7684|0.27|8.705872|0.14|?|0.0022|8.705872|3.64|III|Uranus|1787|William Herschel|
Oberon|13.94|582.60|761.4|3.03e+21|1.64|0.7288|0.24|13.46324|0.10|?|0.0008|13.46324|3.15|IV|Uranus|1787|William Herschel|
Neptune|7.84|4,504,300|24746|1.024e+26|1.64|23.500|0.41|60190.00|1.774|28.31|0.0097|0.67125|5.44|VIII|Sun|1846|Johann Gotfried Galle|
Naiad|24.7|48.00|29|?|?|?|0.06|0.294396|4.74|?|0.0003|?|11.86|III|Neptune|1989|Voyager 2|
Thalassa|23.8|50.00|40|?|?|?|0.06|0.311485|0.21|?|0.0002|?|11.67|IV|Neptune|1989|Voyager 2|
Despina|22.6|52.50|74|?|?|?|0.06|0.334655|0.07|?|0.0001|?|11.41|V|Neptune|1989|Voyager 2|
Galatea|22.3|62.00|79|?|?|?|0.06|0.428745|0.05|?|0.0001|?|10.52|VI|Neptune|1989|Voyager 2|
Larissa|22.0|73.60|104x89|?|?|?|0.06|0.554654|0.20|?|0.0014|?|9.65|VII|Neptune|1989|Stephen Synnott|
Proteus|20.3|117.60|200|?|?|?|0.06|1.122315|0.04|?|0.0004|?|7.62|VIII|Neptune|1989|Stephen Synnott|
Triton|13.47|354.80|1350|2.14e+22|2.07|1.4545|0.7|-5.87685|157.35|?|0.0000|-5.87685|-4.39|I|Neptune|1846|William Lassell|
Nereid|18.7|5,513.40|170|?|?|?|0.14|360.1362|27.6|?|0.7512|?|1.11|II|Neptune|1949|Gerard Kuiper|
Pluto|15.12|5,913,520|1137|1.27e+22|2.05|1.2183|0.3|90800|17.148|122.52|0.2482|-6.3872|4.74|IX|Sun|1930|Clyde W. Tombaugh|
Charon|16.8|19.64|586|1.90e+21|1.83|0.6099|0.5|6.38725|98.80|?|0.00|6.38725|0.22|I|Pluto|1978|J. Christy|
